Library Type,Region,Country or Area,M49 Code,Metric,Metric Data,Data Year
Academic,Europe,Czechia,203,Libraries,129,2018
Academic,Europe,Czechia,203,Internet_Access,108,2017
Academic,Europe,Czechia,203,Staff,1041,2018
Academic,Europe,Czechia,203,Volunteers,-,-
Academic,Europe,Czechia,203,Users,427375,2018
Academic,Europe,Czechia,203,Visits,4415294,2018
Academic,Europe,Czechia,203,Loans_books,1529360,2018
Academic,Europe,Czechia,203,Loans_documents,-,-
Academic,Europe,Czechia,203,Loans_eBooks,-,-
Academic,Europe,Czechia,203,Loans_audio_books,-,-
Academic,Europe,Czechia,203,Loans_downloads,-,-
Academic,Europe,Denmark,208,Libraries,89,2018
Academic,Europe,Denmark,208,Internet_Access,89,2018
Academic,Europe,Denmark,208,Staff,-,-
Academic,Europe,Denmark,208,Volunteers,-,-
Academic,Europe,Denmark,208,Users,-,-
Academic,Europe,Denmark,208,Visits,-,-
Academic,Europe,Denmark,208,Loans_books,-,-
Academic,Europe,Denmark,208,Loans_documents,-,-
Academic,Europe,Denmark,208,Loans_eBooks,-,-
Academic,Europe,Denmark,208,Loans_audio_books,-,-
Academic,Europe,Denmark,208,Loans_downloads,-,-
Academic,Europe,Estonia,233,Libraries,7,2018
Academic,Europe,Estonia,233,Internet_Access,7,2018
Academic,Europe,Estonia,233,Staff,260,2018
Academic,Europe,Estonia,233,Volunteers,-,-
Academic,Europe,Estonia,233,Users,134922,2018
Academic,Europe,Estonia,233,Visits,803272,2018
Academic,Europe,Estonia,233,Loans_books,708077,2018
Academic,Europe,Estonia,233,Loans_documents,-,-
Academic,Europe,Estonia,233,Loans_eBooks,754966,2018
Academic,Europe,Estonia,233,Loans_audio_books,-,-
Academic,Europe,Estonia,233,Loans_downloads,23638507,2018
Academic,Europe,Finland,246,Libraries,152,2017
Academic,Europe,Finland,246,Internet_Access,152,2017
Academic,Europe,Finland,246,Staff,1307,2017
Academic,Europe,Finland,246,Volunteers,-,-
Academic,Europe,Finland,246,Users,1073494,2017
Academic,Europe,Finland,246,Visits,9936572,2017
Academic,Europe,Finland,246,Loans_books,2348621,2017
Academic,Europe,Finland,246,Loans_documents,-,-
Academic,Europe,Finland,246,Loans_eBooks,11032,2016
Academic,Europe,Finland,246,Loans_audio_books,-,-
Academic,Europe,Finland,246,Loans_downloads,62220415,2017
Academic,Europe,France,250,Libraries,125,2010
Academic,Europe,France,250,Internet_Access,125,2010
Academic,Europe,France,250,Staff,-,-
Academic,Europe,France,250,Volunteers,-,-
Academic,Europe,France,250,Users,1123734,2010
Academic,Europe,France,250,Visits,-,-
Academic,Europe,France,250,Loans_books,14300000,2010
Academic,Europe,France,250,Loans_documents,-,-
Academic,Europe,France,250,Loans_eBooks,-,-
Academic,Europe,France,250,Loans_audio_books,-,-
Academic,Europe,France,250,Loans_downloads,-,-
Academic,Europe,Germany,276,Libraries,725,2019
Academic,Europe,Germany,276,Internet_Access,227,2019
Academic,Europe,Germany,276,Staff,20137,2019
Academic,Europe,Germany,276,Volunteers,-,-
Academic,Europe,Germany,276,Users,2225085,2019
Academic,Europe,Germany,276,Visits,95148005,2019
Academic,Europe,Germany,276,Loans_books,66101712,2019
Academic,Europe,Germany,276,Loans_documents,-,-
Academic,Europe,Germany,276,Loans_eBooks,146400792,2019
Academic,Europe,Germany,276,Loans_audio_books,-,-
Academic,Europe,Germany,276,Loans_downloads,319552673,2019
Academic,Europe,Greece,300,Libraries,181,2018
Academic,Europe,Greece,300,Internet_Access,181,2018
Academic,Europe,Greece,300,Staff,699,2018
Academic,Europe,Greece,300,Volunteers,-,-
Academic,Europe,Greece,300,Users,417751,2018
Academic,Europe,Greece,300,Visits,-,-
Academic,Europe,Greece,300,Loans_books,961234,2017
Academic,Europe,Greece,300,Loans_documents,-,-
Academic,Europe,Greece,300,Loans_eBooks,-,-
Academic,Europe,Greece,300,Loans_audio_books,-,-
Academic,Europe,Greece,300,Loans_downloads,-,-
Academic,Europe,Hungary,348,Libraries,209,2017
Academic,Europe,Hungary,348,Internet_Access,173,2017
Academic,Europe,Hungary,348,Staff,1526,2017
Academic,Europe,Hungary,348,Volunteers,106,2017
Academic,Europe,Hungary,348,Users,470316,2017
Academic,Europe,Hungary,348,Visits,5101270,2017
Academic,Europe,Hungary,348,Loans_books,2687194,2017
Academic,Europe,Hungary,348,Loans_documents,25986,2017
Academic,Europe,Hungary,348,Loans_eBooks,-,-
Academic,Europe,Hungary,348,Loans_audio_books,N/A,2017
Academic,Europe,Hungary,348,Loans_downloads,38344606,2017
Academic,Europe,Ireland,372,Libraries,31,2017
Academic,Europe,Ireland,372,Internet_Access,31,2017
Academic,Europe,Ireland,372,Staff,526,2017
Academic,Europe,Ireland,372,Volunteers,-,-
Academic,Europe,Ireland,372,Users,127700,2017
Academic,Europe,Ireland,372,Visits,6805072,2017
Academic,Europe,Ireland,372,Loans_books,1048068,2017
Academic,Europe,Ireland,372,Loans_documents,-,-
Academic,Europe,Ireland,372,Loans_eBooks,-,-
Academic,Europe,Ireland,372,Loans_audio_books,-,-
Academic,Europe,Ireland,372,Loans_downloads,12261880,2017
Academic,Europe,Italy,380,Libraries,1581,2010
Academic,Europe,Italy,380,Internet_Access,-,-
Academic,Europe,Italy,380,Staff,5266,2010
Academic,Europe,Italy,380,Volunteers,-,-
Academic,Europe,Italy,380,Users,1892205,2010
Academic,Europe,Italy,380,Visits,-,-
Academic,Europe,Italy,380,Loans_books,5105873,2010
Academic,Europe,Italy,380,Loans_documents,-,-
Academic,Europe,Italy,380,Loans_eBooks,-,-
Academic,Europe,Italy,380,Loans_audio_books,-,-
Academic,Europe,Italy,380,Loans_downloads,16461943,2010
Academic,Europe,Latvia,428,Libraries,48,2019
Academic,Europe,Latvia,428,Internet_Access,48,2019
Academic,Europe,Latvia,428,Staff,294,2019
Academic,Europe,Latvia,428,Volunteers,-,-
Academic,Europe,Latvia,428,Users,100499,2019
Academic,Europe,Latvia,428,Visits,1588119,2019
Academic,Europe,Latvia,428,Loans_books,1889233,2019
Academic,Europe,Latvia,428,Loans_documents,415108,2019
Academic,Europe,Latvia,428,Loans_eBooks,-,-
Academic,Europe,Latvia,428,Loans_audio_books,-,-
Academic,Europe,Latvia,428,Loans_downloads,-,-
Academic,Europe,Lithuania,440,Libraries,102,2019
Academic,Europe,Lithuania,440,Internet_Access,95,2019
Academic,Europe,Lithuania,440,Staff,687,2019
Academic,Europe,Lithuania,440,Volunteers,5,2019
Academic,Europe,Lithuania,440,Users,158818,2019
Academic,Europe,Lithuania,440,Visits,3464803,2019
Academic,Europe,Lithuania,440,Loans_books,2673468,2019
Academic,Europe,Lithuania,440,Loans_documents,-,-
Academic,Europe,Lithuania,440,Loans_eBooks,-,-
Academic,Europe,Lithuania,440,Loans_audio_books,-,-
Academic,Europe,Lithuania,440,Loans_downloads,21049174,2019
Academic,Europe,Luxembourg,442,Libraries,2,2018
Academic,Europe,Luxembourg,442,Internet_Access,2,2018
Academic,Europe,Luxembourg,442,Staff,-,-
Academic,Europe,Luxembourg,442,Volunteers,-,-
Academic,Europe,Luxembourg,442,Users,-,-
Academic,Europe,Luxembourg,442,Visits,15952,2014
Academic,Europe,Luxembourg,442,Loans_books,-,-
Academic,Europe,Luxembourg,442,Loans_documents,-,-
Academic,Europe,Luxembourg,442,Loans_eBooks,-,-
Academic,Europe,Luxembourg,442,Loans_audio_books,-,-
Academic,Europe,Luxembourg,442,Loans_downloads,52859,2014
Academic,Europe,Netherlands,528,Libraries,74,2016
Academic,Europe,Netherlands,528,Internet_Access,74,2016
Academic,Europe,Netherlands,528,Staff,453,2016
Academic,Europe,Netherlands,528,Volunteers,-,-
Academic,Europe,Netherlands,528,Users,430000,2016
Academic,Europe,Netherlands,528,Visits,-,-
Academic,Europe,Netherlands,528,Loans_books,752888,2016
Academic,Europe,Netherlands,528,Loans_documents,-,-
Academic,Europe,Netherlands,528,Loans_eBooks,-,-
Academic,Europe,Netherlands,528,Loans_audio_books,-,-
Academic,Europe,Netherlands,528,Loans_downloads,-,-
Academic,Europe,Norway,578,Libraries,52,2015
Academic,Europe,Norway,578,Internet_Access,-,-
Academic,Europe,Norway,578,Staff,943,2015
Academic,Europe,Norway,578,Volunteers,-,-
Academic,Europe,Norway,578,Users,-,-
Academic,Europe,Norway,578,Visits,8398289,2015
Academic,Europe,Norway,578,Loans_books,1341056,2015
Academic,Europe,Norway,578,Loans_documents,-,-
Academic,Europe,Norway,578,Loans_eBooks,-,-
Academic,Europe,Norway,578,Loans_audio_books,-,-
Academic,Europe,Norway,578,Loans_downloads,20418610,2015
Academic,Europe,Poland,616,Libraries,896,2017
Academic,Europe,Poland,616,Internet_Access,750,2017
Academic,Europe,Poland,616,Staff,7505,2017
Academic,Europe,Poland,616,Volunteers,-,-
Academic,Europe,Poland,616,Users,2628530,2017
Academic,Europe,Poland,616,Visits,15597530,2017
Academic,Europe,Poland,616,Loans_books,26316518,2017
Academic,Europe,Poland,616,Loans_documents,37844,2017
Academic,Europe,Poland,616,Loans_eBooks,-,-
Academic,Europe,Poland,616,Loans_audio_books,131990,2017
Academic,Europe,Poland,616,Loans_downloads,26316518,2015
Academic,Europe,Republic of Moldova,498,Libraries,24,2019
Academic,Europe,Republic of Moldova,498,Internet_Access,24,2019
Academic,Europe,Republic of Moldova,498,Staff,269,2019
Academic,Europe,Republic of Moldova,498,Volunteers,-,-
Academic,Europe,Republic of Moldova,498,Users,71751,2019
Academic,Europe,Republic of Moldova,498,Visits,1150783,2019
Academic,Europe,Republic of Moldova,498,Loans_books,2133740,2019
Academic,Europe,Republic of Moldova,498,Loans_documents,21223,2019
Academic,Europe,Republic of Moldova,498,Loans_eBooks,-,-
Academic,Europe,Republic of Moldova,498,Loans_audio_books,-,-
Academic,Europe,Republic of Moldova,498,Loans_downloads,22685,2017
Academic,Europe,Romania,642,Libraries,93,2018
Academic,Europe,Romania,642,Internet_Access,-,-
Academic,Europe,Romania,642,Staff,93,2018
Academic,Europe,Romania,642,Volunteers,-,-
Academic,Europe,Romania,642,Users,268841,2018
Academic,Europe,Romania,642,Visits,-,-
Academic,Europe,Romania,642,Loans_books,4582347,2018
Academic,Europe,Romania,642,Loans_documents,-,-
Academic,Europe,Romania,642,Loans_eBooks,8025950,2015
Academic,Europe,Romania,642,Loans_audio_books,-,-
Academic,Europe,Romania,642,Loans_downloads,373500,2015
Academic,Europe,Russian Federation,643,Libraries,1321,2018
Academic,Europe,Russian Federation,643,Internet_Access,1321,2016
Academic,Europe,Russian Federation,643,Staff,-,-
Academic,Europe,Russian Federation,643,Volunteers,-,-
Academic,Europe,Russian Federation,643,Users,6028472,2018
Academic,Europe,Russian Federation,643,Visits,115794154,2018
Academic,Europe,Russian Federation,643,Loans_books,-,-
Academic,Europe,Russian Federation,643,Loans_documents,-,-
Academic,Europe,Russian Federation,643,Loans_eBooks,-,-
Academic,Europe,Russian Federation,643,Loans_audio_books,-,-
Academic,Europe,Russian Federation,643,Loans_downloads,-,-
Academic,Europe,Serbia,688,Libraries,213,2016
Academic,Europe,Serbia,688,Internet_Access,-,-
Academic,Europe,Serbia,688,Staff,-,-
Academic,Europe,Serbia,688,Volunteers,-,-
Academic,Europe,Serbia,688,Users,-,-
Academic,Europe,Serbia,688,Visits,-,-
Academic,Europe,Serbia,688,Loans_books,1604001,2015
Academic,Europe,Serbia,688,Loans_documents,-,-
Academic,Europe,Serbia,688,Loans_eBooks,-,-
Academic,Europe,Serbia,688,Loans_audio_books,-,-
Academic,Europe,Serbia,688,Loans_downloads,-,-
Academic,Europe,Slovakia,703,Libraries,58,2018
Academic,Europe,Slovakia,703,Internet_Access,58,2017
Academic,Europe,Slovakia,703,Staff,606,2017
Academic,Europe,Slovakia,703,Volunteers,-,-
Academic,Europe,Slovakia,703,Users,159393,2017
Academic,Europe,Slovakia,703,Visits,1327700,2017
Academic,Europe,Slovakia,703,Loans_books,2470243,2017
Academic,Europe,Slovakia,703,Loans_documents,99252,2017
Academic,Europe,Slovakia,703,Loans_eBooks,-,-
Academic,Europe,Slovakia,703,Loans_audio_books,-,-
Academic,Europe,Slovakia,703,Loans_downloads,2136676,2017
Academic,Europe,Slovenia,705,Libraries,128,2019
Academic,Europe,Slovenia,705,Internet_Access,128,2019
Academic,Europe,Slovenia,705,Staff,360,2019
Academic,Europe,Slovenia,705,Volunteers,-,-
Academic,Europe,Slovenia,705,Users,96400,2019
Academic,Europe,Slovenia,705,Visits,1534031,2019
Academic,Europe,Slovenia,705,Loans_books,1432677,2019
Academic,Europe,Slovenia,705,Loans_documents,26935,2019
Academic,Europe,Slovenia,705,Loans_eBooks,-,-
Academic,Europe,Slovenia,705,Loans_audio_books,-,-
Academic,Europe,Slovenia,705,Loans_downloads,10296395,2019
Academic,Europe,Spain,724,Libraries,729,2018
Academic,Europe,Spain,724,Internet_Access,729,2018
Academic,Europe,Spain,724,Staff,6309,2018
Academic,Europe,Spain,724,Volunteers,-,-
Academic,Europe,Spain,724,Users,1894937,2018
Academic,Europe,Spain,724,Visits,69469133,2018
Academic,Europe,Spain,724,Loans_books,10831127,2018
Academic,Europe,Spain,724,Loans_documents,-,-
Academic,Europe,Spain,724,Loans_eBooks,-,-
Academic,Europe,Spain,724,Loans_audio_books,-,-
Academic,Europe,Spain,724,Loans_downloads,61980260,2018
Academic,Europe,Sweden,752,Libraries,112,2019
Academic,Europe,Sweden,752,Internet_Access,112,2019
Academic,Europe,Sweden,752,Staff,1584,2019
Academic,Europe,Sweden,752,Volunteers,N/A,2019
Academic,Europe,Sweden,752,Users,251892,2019
Academic,Europe,Sweden,752,Visits,12566711,2019
Academic,Europe,Sweden,752,Loans_books,4936909,2019
Academic,Europe,Sweden,752,Loans_documents,692,2019
Academic,Europe,Sweden,752,Loans_eBooks,11282187,2019
Academic,Europe,Sweden,752,Loans_audio_books,-,-
Academic,Europe,Sweden,752,Loans_downloads,76431291,2019
Academic,Europe,Switzerland,756,Libraries,279,2016
Academic,Europe,Switzerland,756,Internet_Access,279,2016
Academic,Europe,Switzerland,756,Staff,1737,2014
Academic,Europe,Switzerland,756,Volunteers,-,-
Academic,Europe,Switzerland,756,Users,436160,2016
Academic,Europe,Switzerland,756,Visits,11027486,2016
Academic,Europe,Switzerland,756,Loans_books,7685005,2016
Academic,Europe,Switzerland,756,Loans_documents,-,-
Academic,Europe,Switzerland,756,Loans_eBooks,-,-
Academic,Europe,Switzerland,756,Loans_audio_books,-,-
Academic,Europe,Switzerland,756,Loans_downloads,-,-
Academic,Europe,Ukraine,804,Libraries,1843,2018
Academic,Europe,Ukraine,804,Internet_Access,257,2018
Academic,Europe,Ukraine,804,Staff,4773,2018
Academic,Europe,Ukraine,804,Volunteers,N/A,2018
Academic,Europe,Ukraine,804,Users,1611328,2018
Academic,Europe,Ukraine,804,Visits,54133868,2018
Academic,Europe,Ukraine,804,Loans_books,67765039,2018
Academic,Europe,Ukraine,804,Loans_documents,177781,2018
Academic,Europe,Ukraine,804,Loans_eBooks,21743140,2016
Academic,Europe,Ukraine,804,Loans_audio_books,-,-
Academic,Europe,Ukraine,804,Loans_downloads,22644004,2018
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Libraries,523,2016
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Internet_Access,523,2016
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Staff,13162,2015
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Volunteers,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Users,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Visits,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Loans_books,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Loans_documents,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Loans_eBooks,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Loans_audio_books,-,-
Academic,Europe,United Kingdom of Great Britain and Northern Ireland,826,Loans_downloads,-,-
Academic,Europe,Bosnia and Herzegovina,70,Libraries,-,-
Academic,Europe,Bosnia and Herzegovina,70,Internet_Access,-,-
Academic,Europe,Bosnia and Herzegovina,70,Staff,-,-
Academic,Europe,Bosnia and Herzegovina,70,Volunteers,-,-
Academic,Europe,Bosnia and Herzegovina,70,Users,-,-
Academic,Europe,Bosnia and Herzegovina,70,Visits,-,-
Academic,Europe,Bosnia and Herzegovina,70,Loans_books,-,-
Academic,Europe,Bosnia and Herzegovina,70,Loans_documents,-,-
Academic,Europe,Bosnia and Herzegovina,70,Loans_eBooks,-,-
Academic,Europe,Bosnia and Herzegovina,70,Loans_audio_books,-,-
Academic,Europe,Bosnia and Herzegovina,70,Loans_downloads,-,-
Academic,Europe,Iceland,352,Libraries,-,-
Academic,Europe,Iceland,352,Internet_Access,-,-
Academic,Europe,Iceland,352,Staff,-,-
Academic,Europe,Iceland,352,Volunteers,-,-
Academic,Europe,Iceland,352,Users,-,-
Academic,Europe,Iceland,352,Visits,-,-
Academic,Europe,Iceland,352,Loans_books,-,-
Academic,Europe,Iceland,352,Loans_documents,-,-
Academic,Europe,Iceland,352,Loans_eBooks,-,-
Academic,Europe,Iceland,352,Loans_audio_books,-,-
Academic,Europe,Iceland,352,Loans_downloads,-,-
Academic,Europe,Portugal,620,Libraries,-,-
Academic,Europe,Portugal,620,Internet_Access,-,-
Academic,Europe,Portugal,620,Staff,-,-
Academic,Europe,Portugal,620,Volunteers,-,-
Academic,Europe,Portugal,620,Users,-,-
Academic,Europe,Portugal,620,Visits,-,-
Academic,Europe,Portugal,620,Loans_books,-,-
Academic,Europe,Portugal,620,Loans_documents,-,-
Academic,Europe,Portugal,620,Loans_eBooks,-,-
Academic,Europe,Portugal,620,Loans_audio_books,-,-
Academic,Europe,Portugal,620,Loans_downloads,-,-
Academic,Africa,Angola,24,Libraries,20,2018
Academic,Africa,Angola,24,Internet_Access,-,-
Academic,Africa,Angola,24,Staff,-,-
Academic,Africa,Angola,24,Volunteers,-,-
Academic,Africa,Angola,24,Users,-,-
Academic,Africa,Angola,24,Visits,-,-
Academic,Africa,Angola,24,Loans_books,-,-
Academic,Africa,Angola,24,Loans_documents,-,-
Academic,Africa,Angola,24,Loans_eBooks,-,-
Academic,Africa,Angola,24,Loans_audio_books,-,-
Academic,Africa,Angola,24,Loans_downloads,-,-
Academic,Africa,Benin,204,Libraries,215,2017
Academic,Africa,Benin,204,Internet_Access,11,2017
Academic,Africa,Benin,204,Staff,133,2017
Academic,Africa,Benin,204,Volunteers,86,2017
Academic,Africa,Benin,204,Users,12416,2016
Academic,Africa,Benin,204,Visits,8726,2017
Academic,Africa,Benin,204,Loans_books,4210,2017
Academic,Africa,Benin,204,Loans_documents,219,2017
Academic,Africa,Benin,204,Loans_eBooks,426,2017
Academic,Africa,Benin,204,Loans_audio_books,-,-
Academic,Africa,Benin,204,Loans_downloads,526,2017
Academic,Africa,Cameroon,120,Libraries,90,2019
Academic,Africa,Cameroon,120,Internet_Access,15,2019
Academic,Africa,Cameroon,120,Staff,202,2019
Academic,Africa,Cameroon,120,Volunteers,N/A,2019
Academic,Africa,Cameroon,120,Users,12724,2019
Academic,Africa,Cameroon,120,Visits,752340,2019
Academic,Africa,Cameroon,120,Loans_books,163400,2019
Academic,Africa,Cameroon,120,Loans_documents,1250,2019
Academic,Africa,Cameroon,120,Loans_eBooks,120005,2019
Academic,Africa,Cameroon,120,Loans_audio_books,-,-
Academic,Africa,Cameroon,120,Loans_downloads,609000,2019
Academic,Africa,Egypt,818,Libraries,464,2017
Academic,Africa,Egypt,818,Internet_Access,390,2017
Academic,Africa,Egypt,818,Staff,4309,2017
Academic,Africa,Egypt,818,Volunteers,3,2017
Academic,Africa,Egypt,818,Users,409587,2017
Academic,Africa,Egypt,818,Visits,5014021,2017
Academic,Africa,Egypt,818,Loans_books,368133,2017
Academic,Africa,Egypt,818,Loans_documents,-,-
Academic,Africa,Egypt,818,Loans_eBooks,50162,2017
Academic,Africa,Egypt,818,Loans_audio_books,-,-
Academic,Africa,Egypt,818,Loans_downloads,2708002,2017
Academic,Africa,Ghana,288,Libraries,222,2017
Academic,Africa,Ghana,288,Internet_Access,-,-
Academic,Africa,Ghana,288,Staff,-,-
Academic,Africa,Ghana,288,Volunteers,-,-
Academic,Africa,Ghana,288,Users,-,-
Academic,Africa,Ghana,288,Visits,-,-
Academic,Africa,Ghana,288,Loans_books,-,-
Academic,Africa,Ghana,288,Loans_documents,-,-
Academic,Africa,Ghana,288,Loans_eBooks,-,-
Academic,Africa,Ghana,288,Loans_audio_books,-,-
Academic,Africa,Ghana,288,Loans_downloads,-,-
Academic,Africa,Guinea,324,Libraries,16,2017
Academic,Africa,Guinea,324,Internet_Access,11,2017
Academic,Africa,Guinea,324,Staff,115,2017
Academic,Africa,Guinea,324,Volunteers,37,2017
Academic,Africa,Guinea,324,Users,53652,2016
Academic,Africa,Guinea,324,Visits,17245,2016
Academic,Africa,Guinea,324,Loans_books,47045,2016
Academic,Africa,Guinea,324,Loans_documents,-,-
Academic,Africa,Guinea,324,Loans_eBooks,-,-
Academic,Africa,Guinea,324,Loans_audio_books,-,-
Academic,Africa,Guinea,324,Loans_downloads,70811,2016
Academic,Africa,Guinea-Bissau,624,Libraries,4,2018
Academic,Africa,Guinea-Bissau,624,Internet_Access,-,-
Academic,Africa,Guinea-Bissau,624,Staff,-,-
Academic,Africa,Guinea-Bissau,624,Volunteers,N/A,2018
Academic,Africa,Guinea-Bissau,624,Users,-,-
Academic,Africa,Guinea-Bissau,624,Visits,-,-
Academic,Africa,Guinea-Bissau,624,Loans_books,-,-
Academic,Africa,Guinea-Bissau,624,Loans_documents,-,-
Academic,Africa,Guinea-Bissau,624,Loans_eBooks,-,-
Academic,Africa,Guinea-Bissau,624,Loans_audio_books,-,-
Academic,Africa,Guinea-Bissau,624,Loans_downloads,-,-
Academic,Africa,Kenya,404,Libraries,89,2018
Academic,Africa,Kenya,404,Internet_Access,89,2018
Academic,Africa,Kenya,404,Staff,-,-
Academic,Africa,Kenya,404,Volunteers,N/A,2018
Academic,Africa,Kenya,404,Users,-,-
Academic,Africa,Kenya,404,Visits,-,-
Academic,Africa,Kenya,404,Loans_books,-,-
Academic,Africa,Kenya,404,Loans_documents,N/A,2018
Academic,Africa,Kenya,404,Loans_eBooks,N/A,2018
Academic,Africa,Kenya,404,Loans_audio_books,N/A,2018
Academic,Africa,Kenya,404,Loans_downloads,-,-
Academic,Africa,Madagascar,450,Libraries,1,2019
Academic,Africa,Madagascar,450,Internet_Access,-,-
Academic,Africa,Madagascar,450,Staff,-,-
Academic,Africa,Madagascar,450,Volunteers,-,-
Academic,Africa,Madagascar,450,Users,-,-
Academic,Africa,Madagascar,450,Visits,-,-
Academic,Africa,Madagascar,450,Loans_books,-,-
Academic,Africa,Madagascar,450,Loans_documents,-,-
Academic,Africa,Madagascar,450,Loans_eBooks,-,-
Academic,Africa,Madagascar,450,Loans_audio_books,-,-
Academic,Africa,Madagascar,450,Loans_downloads,-,-
Academic,Africa,Mali,466,Libraries,5,2010
Academic,Africa,Mali,466,Internet_Access,-,-
Academic,Africa,Mali,466,Staff,-,-
Academic,Africa,Mali,466,Volunteers,-,-
Academic,Africa,Mali,466,Users,-,-
Academic,Africa,Mali,466,Visits,-,-
Academic,Africa,Mali,466,Loans_books,-,-
Academic,Africa,Mali,466,Loans_documents,-,-
Academic,Africa,Mali,466,Loans_eBooks,-,-
Academic,Africa,Mali,466,Loans_audio_books,-,-
Academic,Africa,Mali,466,Loans_downloads,-,-
Academic,Africa,Mauritius,480,Libraries,10,2017
Academic,Africa,Mauritius,480,Internet_Access,3,2017
Academic,Africa,Mauritius,480,Staff,125,2017
Academic,Africa,Mauritius,480,Volunteers,-,-
Academic,Africa,Mauritius,480,Users,40000,2017
Academic,Africa,Mauritius,480,Visits,300,2016
Academic,Africa,Mauritius,480,Loans_books,1238000,2016
Academic,Africa,Mauritius,480,Loans_documents,300,2016
Academic,Africa,Mauritius,480,Loans_eBooks,500000,2016
Academic,Africa,Mauritius,480,Loans_audio_books,2000,2016
Academic,Africa,Mauritius,480,Loans_downloads,-,-
